date,Strategy,CVX_BuyHold,HYG_BuyHold,Equal_Weight
2021-09-23,94312.56642314768,96903.94424821217,103500.99816185495,100202.47120503357
2021-09-24,94351.05491473514,97426.90272159046,103348.1262192938,100387.51447044214
2021-09-27,94537.9438573938,99722.1615675456,103254.09400902891,101488.12778828725
2021-09-28,94533.0351178546,100099.8503825285,102783.876140659,101441.86326159375
2021-09-29,93663.27877432403,100070.8210445397,102971.90647096149,101521.3637577506
2021-09-30,94468.96029839739,98250.10623595853,102854.37473068721,100552.24048332288
2021-10-01,94064.1358432933,101039.27665038154,103100.8698007858,102070.07322558368
2021-10-04,93910.66505879848,101416.95668190363,102735.24074973047,102076.09871581705
2021-10-05,94266.09504060971,102521.01135578514,102688.01442152975,102604.51288865745
2021-10-06,93683.38167284093,101620.35528396314,102629.09514536982,102124.72521466648
2021-10-07,93911.93806712789,102346.68600901851,102640.90172742,102493.79386821925
2021-10-08,94743.15291657604,104641.927288052,102334.1805891155,103488.05393858375
2021-10-11,94071.25332214378,103750.95059004656,102015.73241262448,102883.34150133553
2021-10-12,94068.11709085839,103770.31812114043,102204.4331840636,102987.37565260202
2021-10-13,94391.3502979213,104390.123033449,102475.75730303576,103432.94016824238
2021-10-14,95033.55481708574,105377.94617038473,103053.67756281239,104215.81186659855
2021-10-15,95231.74346210987,106152.72646528768,102876.79473683254,104514.76060106012
2021-10-18,95104.11467241515,106104.30324582254,102829.56840863184,104466.9358272272
2021-10-19,96035.18328161692,108176.79595862428,102900.3965375238,105538.59624807404
2021-10-20,96641.62492406515,109590.7662638513,102935.74810321975,106263.25718353552
2021-10-21,95797.83571463295,108215.53980427289,102676.26465652505,105445.90223039896
2021-10-22,96095.76301792332,109242.1067868572,102428.56506506234,105835.33592595978
2021-10-25,96586.41654898204,110259.00317908579,102605.52743490585,106432.26530699582
2021-10-26,96642.52897890187,110501.11049295065,102629.09514536982,106565.10281916024
2021-10-27,96555.87990864641,108535.1260259741,102546.51725147315,105540.82163872363
2021-10-28,95847.50342437357,109552.01363474187,102806.01206157696,106179.01284815941
2021-10-29,97027.8490213792,110878.79930793356,102534.69930601388,106706.74930697371
2021-11-01,96915.40118636965,110917.53437012136,102424.6901425608,106671.11225634108
2021-11-02,96040.0983561634,110239.6180810703,102673.10562879652,106456.3618549334
2021-11-03,95093.82324170836,109445.49660545589,102874.29478683154,106159.8956961437
2021-11-04,95307.82886065973,109929.72880010724,103146.44843466768,106538.08861738746
2021-11-05,96168.19908985114,111120.90662179842,103536.97471505115,107328.9406684248
2021-11-08,96335.92544497813,111517.9805347968,103406.79550045363,107462.38801762523
2021-11-09,96894.02263478767,112341.16648224326,103489.6233893504,107915.39493579682
2021-11-10,95135.34852489234,110549.52492895497,102909.82816707302,106729.67654801399
2021-11-11,94987.26063488329,110559.22186969314,102732.32035359294,106645.77111164303
2021-11-12,94897.84212356649,110627.01262025216,102767.81964360713,106697.41613192964
2021-11-15,96985.69296271718,113135.30552477928,102649.48110128706,107892.39331303317
2021-11-16,97243.86643341136,113580.81144070365,102696.8778806242,108138.84466066392
2021-11-17,96657.37897965524,113071.39706389983,102590.32319353613,107830.86012871798
2021-11-18,95683.07482677477,112121.12322194206,102507.54075827575,107314.33199010891
2021-11-19,93344.46176765596,109632.80390730497,102424.6901425608,106028.74702493288
2021-11-22,94966.22412998714,111592.12172752403,102034.1524987682,106813.13711314612
2021-11-23,96931.2149280894,113933.50252621114,101892.21215575689,107912.85734098402
2021-11-24,97591.96496295503,114805.37519694715,101868.50808438376,108336.94164066546
2021-11-26,97460.42373354544,112179.91092516719,101134.88639318122,106657.39865917421
2021-11-29,96089.06101872338,112512.98854267805,101762.03294115936,107137.5107419187
2021-11-30,97195.52654988343,110573.2578400732,101336.07555121624,105954.66669564473
2021-12-01,97699.62880168213,109818.92544194423,101350.32526622195,105584.62535408308
2021-12-02,95904.37418025406,112797.08958269251,102098.21939924838,107447.65449097045
2021-12-03,95206.38571307398,112081.95777017443,102098.21939924838,107090.0885847114
2021-12-06,96336.48518845128,113835.54058775757,102549.33537692882,108192.4379823432
2021-12-07,97595.13486834285,115520.50700946525,103095.44945464727,109307.97823205625
2021-12-08,97855.22628610683,116039.73251199776,103071.74538327416,109555.73894763595
2021-12-09,97411.98982809919,115736.02678744747,102608.70918945258,109172.36798845002
2021-12-10,97412.58763921076,115931.98579819787,102846.1703493203,109389.07807375908
2021-12-13,95157.51493092187,113522.04130440015,102846.1703493203,108184.10582686022
2021-12-14,95292.72274648582,113855.10135498938,102668.09436538542,108261.59786018741
2021-12-15,94583.16222275195,113208.54202104273,103059.8706207694,108134.20632090606
2021-12-16,95360.11473945843,114266.56257680038,102983.6221457389,108625.09236126964
2021-12-17,94184.55114619617,111288.4072195129,102888.32859706442,107088.36790828867
2021-12-20,94009.25728225669,111337.41014739173,102709.60489881111,107023.50752310142
2021-12-21,93965.74940135324,113120.38242485707,103257.59393903031,108188.98818194369
2021-12-22,94402.58127594813,113766.93297534289,103531.599822549,108649.26639894594
2021-12-23,94519.4542866733,114041.24924001105,103829.40068471358,108935.32496236231
2021-12-27,96426.80771548841,116372.81891296942,103936.63717634739,110154.7280446584
2021-12-28,96292.19333856783,116147.47922579767,103888.94494837376,110018.2120870857
2021-12-29,95942.08678146503,115549.88768588657,103722.19828330707,109636.04298459682
